state,year,salary
West Virginia,2005,45858
West Virginia,2004,43415
West Virginia,2003,43773
West Virginia,2002,40116
West Virginia,2001,41184
Wisconsin,2016,61103
Wisconsin,2015,57347
Wisconsin,2014,60198
Wisconsin,2013,54520
Wisconsin,2012,56775
Wisconsin,2011,56862
Wisconsin,2010,56731
Wisconsin,2009,58682
Wisconsin,2008,58436
Wisconsin,2007,60771
Wisconsin,2006,63001
Wisconsin,2005,56182
Wisconsin,2004,59493
Wisconsin,2003,61818
Wisconsin,2002,62721
Wisconsin,2001,62937
Wyoming,2016,59073
Wyoming,2015,63038
Wyoming,2014,57721
Wyoming,2013,71084
Wyoming,2012,61517
Wyoming,2011,59539
Wyoming,2010,58816
Wyoming,2009,60094
Wyoming,2008,60875
Wyoming,2007,57769
Wyoming,2006,57332
Wyoming,2005,56268
Wyoming,2004,59057
Wyoming,2003,56855
Wyoming,2002,54332
Wyoming,2001,55127
